,Neighbourhood,VenueName,VenueCategory,VenueLatitude,VenueLongitude
0,Harbourfront,Boxcar Social,Café,43.63831906511549,-79.38246311921247
1,Harbourfront,Pearl Harbourfront,Chinese Restaurant,43.63815654013541,-79.38068763743328
2,Harbourfront,Evviva Restaurant,Deli / Bodega,43.64157991761808,-79.38345644030795
3,Harbourfront,iQ Food Co,Salad Place,43.642851,-79.382081
4,Harbourfront,Aroma Espresso Bar,Café,43.6423209103846,-79.38374932648954
5,Harbourfront,SOCO Kitchen+Bar,Bistro,43.64280448399251,-79.38392149415381
6,Harbourfront,Taverna Mercatto,Italian Restaurant,43.64262514139939,-79.38325673989138
7,Harbourfront,Miku,Japanese Restaurant,43.64137436,-79.37753063
8,Harbourfront,e11even,New American Restaurant,43.64242558687748,-79.38144094115985
9,Harbourfront,Indian Roti House,Indian Restaurant,43.63906038875002,-79.38542224544638
10,Harbourfront,Gonoe Sushi Japanese Restaurant,Sushi Restaurant,43.63901430970685,-79.38591360078077
11,Harbourfront,Joe Bird,Fried Chicken Joint,43.6382035241723,-79.38035466343936
13,Harbourfront,Union Chicken,Fried Chicken Joint,43.64491185903613,-79.38232534702786
14,Harbourfront,Pie Bar,Pizza Place,43.63817355603517,-79.38054644461133
15,Harbourfront,Scaddabush,Italian Restaurant,43.6447367776608,-79.38535477982775
17,Harbourfront,McCafé,Café,43.644490691919735,-79.38110912246584
18,Harbourfront,TOCA,Italian Restaurant,43.64543117726125,-79.38705858895491
20,Harbourfront,Amano Pasta,Italian Restaurant,43.64491852117436,-79.38235777637108
21,Harbourfront,Mi-Ne,Japanese Restaurant,43.64073639213635,-79.39111356908798
22,Harbourfront,Jack Astor's Bar & Grill,American Restaurant,43.645315,-79.383837
23,Harbourfront,Subway,Sandwich Place,43.63946501862797,-79.38353346795704
24,Harbourfront,Alexandro's World Famous Gyros,Greek Restaurant,43.6416627086796,-79.3752137736969
25,Harbourfront,Kupfert & Kim,Vegetarian / Vegan Restaurant,43.64117858582677,-79.37814448224783
26,Harbourfront,Piazza Manna,Italian Restaurant,43.641460067165184,-79.37771914472566
27,Harbourfront,A&W,Fast Food Restaurant,43.64136651819956,-79.37794165160912
28,Harbourfront,Oyshi Sushi,Sushi Restaurant,43.64234005516476,-79.37585304260914
30,Harbourfront,Pizzaiolo,Pizza Place,43.63911334934392,-79.38726583483393
31,Harbourfront,Miller Tavern,Steakhouse,43.64239153286039,-79.37751186704443
32,Harbourfront,Spice Thai,Thai Restaurant,43.63940652819094,-79.38445898645135
33,Harbourfront,Szechuan Express,Chinese Restaurant,43.64134582504235,-79.37796013792254
34,Harbourfront,Lakeside Local Bar & Grill,Fast Food Restaurant,43.63839814350533,-79.38250286664274
35,Harbourfront,Habeebee's Shawarma,Middle Eastern Restaurant,43.639643632294266,-79.38268431323097
36,Harbourfront,Lakeside Local Patio,Snack Place,43.63800924755001,-79.38309119238615
37,Harbourfront,Watermark at Radisson,American Restaurant,43.63887952555827,-79.38540597046132
38,Harbourfront,Mamma's Pizza,Pizza Place,43.63904861970403,-79.38632341824247
39,Harbourfront,Edo Japan,Japanese Restaurant,43.6382122788612,-79.38046294188636
40,Harbourfront,Cocoberry Cafe,Café,43.64071911609628,-79.3789023221464
41,Harbourfront,Pumpernickel's Deli,Food Court,43.638162,-79.380339
43,Harbourfront,Double Double Pizza & Chicken,Pizza Place,43.638819,-79.386868
45,Harbourfront,Harbour Eats,Food Court,43.641772,-79.379558
46,Harbourfront,Fast Fresh Foods,Sandwich Place,43.64130205858261,-79.37808879404564
47,Harbourfront,freshwest grill,Burrito Place,43.64139154213501,-79.3780160725694
48,Harbourfront,Villa Madina,Mediterranean Restaurant,43.64133852565134,-79.37794459004243
49,Harbourfront,Shanghai 360,Chinese Restaurant,43.641647,-79.37792
50,Harbourfront,Burkie's Dog House,Hot Dog Joint,43.643072072838535,-79.37918837842956
51,Harbourfront,The Bagel Stop,Bagel Shop,43.6416192223571,-79.37748644053526
52,Harbourfront,Waterpark Place Food Court,Food Court,43.64151414389611,-79.37724075894322
53,Harbourfront,Dobro Jesti,Food Truck,43.64149920049967,-79.3770977925977
55,Harbourfront,Hot Dog Stand,Hot Dog Joint,43.640892,-79.37652
56,Harbourfront,Loch & Quay,Seafood Restaurant,43.638267,-79.390187
58,Harbourfront,Hot Stove Club,Steakhouse,43.643887754202325,-79.37890135186609
59,Harbourfront,Toula Ristorante & Bar,Italian Restaurant,43.64105222581253,-79.37519073486328
60,Harbourfront,Mr. Greek Express,Greek Restaurant,43.640447,-79.390876
61,Harbourfront,Toronto Island Snack Bar,Snack Place,43.64039,-79.375058
62,Harbourfront,Kibo Sushi House,Sushi Restaurant,43.643418,-79.375694
63,Regent Park,Thai To Go,Thai Restaurant,43.663418,-79.36071
64,Regent Park,Sukhothai,Thai Restaurant,43.658444465539525,-79.36568085121628
66,Regent Park,ODIN Cafe + Bar,Café,43.656738544928054,-79.35650305267754
67,Regent Park,House on Parliament,Gastropub,43.663645704974314,-79.36785378722945
68,Regent Park,Qi sushi,Sushi Restaurant,43.66255180762697,-79.36425843422568
70,Regent Park,Figs Breakfast & Lunch,Breakfast Spot,43.65567455427388,-79.3645032892494
71,Regent Park,The Epicure Shop,Deli / Bodega,43.663964860964924,-79.36779540886938
72,Regent Park,Kanpai Snack Bar,Taiwanese Restaurant,43.664330935948634,-79.36806503124257
74,Regent Park,Ontario Restaurant,Diner,43.65888321199789,-79.36836906142996
75,Regent Park,Sultan Of Samosas,Indian Restaurant,43.66022749787444,-79.36622571571063
